# Without drogue (Up to date)
# 598 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,8.838,1013.25
0.02,6.93,1013.25
0.03,5.022,1013.25
0.04,3.114,1013.25
0.05,0.355,1013.25
0.06,3.254,1013.25
0.07,6.866,1013.25
0.08,10.48,1013.25
0.09,14.096,1013.249
0.1,17.715,1013.249
0.11,21.336,1013.248
# Event LIFTOFF occurred at t=0.12 seconds
0.12,25.137,1013.247
0.13,30.522,1013.246
0.14,36.298,1013.244
0.15,42.085,1013.242
0.16,47.882,1013.239
0.17,53.689,1013.236
0.18,59.506,1013.232
0.19,65.333,1013.227
0.2,71.17,1013.222
0.21,77.017,1013.215
0.22,80.329,1013.208
0.23,76.237,1013.2
0.24,71.664,1013.191
0.25,67.08,1013.181
0.26,62.485,1013.17
0.27,57.879,1013.159
0.28,53.263,1013.147
0.29,48.861,1013.135
# Event LAUNCHROD occurred at t=0.299 seconds
0.299,45.921,1013.123
0.312,42.774,1013.104
0.333,38.066,1013.074
0.364,33.063,1013.026
0.41,28.443,1012.948
0.46,25.785,1012.856
0.51,24.481,1012.756
0.56,23.792,1012.65
0.61,23.32,1012.536
0.66,23.206,1012.416
0.71,23.242,1012.288
0.76,23.277,1012.154
0.81,23.311,1012.014
0.86,23.359,1011.866
0.91,23.41,1011.711
0.96,23.449,1011.55
1.01,23.473,1011.382
1.06,23.509,1011.208
1.11,23.54,1011.027
1.16,23.548,1010.839
1.21,23.549,1010.644
1.26,23.495,1010.443
1.31,23.417,1010.235
1.36,23.336,1010.021
1.41,23.277,1009.799
1.46,23.218,1009.571
1.51,23.167,1009.337
1.56,23.124,1009.095
1.61,23.081,1008.847
1.66,23.049,1008.592
1.71,23.004,1008.331
1.76,22.78,1008.063
1.81,22.347,1007.788
1.86,21.659,1007.507
1.91,20.201,1007.22
1.96,17.87,1006.927
2.01,13.721,1006.63
2.06,8.632,1006.33
2.11,3.608,1006.029
2.16,2.459,1005.727
2.21,7.185,1005.426
# Event BURNOUT occurred at t=2.242 seconds
2.242,11.711,1005.234
2.29,13.574,1004.948
2.34,13.462,1004.656
2.39,13.382,1004.369
2.44,13.323,1004.086
2.49,13.255,1003.806
2.54,13.173,1003.53
2.59,13.075,1003.259
2.64,12.96,1002.991
2.69,12.855,1002.726
2.74,12.756,1002.466
2.79,12.645,1002.209
2.84,12.527,1001.956
2.89,12.429,1001.707
2.94,12.354,1001.461
2.99,12.297,1001.219
3.04,12.252,1000.981
3.09,12.186,1000.746
3.14,12.142,1000.515
3.19,12.079,1000.287
3.24,12.039,1000.063
# Event STAGE_SEPARATION occurred at t=3.242 seconds
# Event IGNITION occurred at t=3.242 seconds
3.243,12.037,1000.052
3.247,10.916,1000.035
3.252,9.21,1000.01
3.261,6.694,999.973
3.273,3.262,999.917
