# Without drogue (Up to date)
# 318 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
3.247,15.265,1000.035
3.252,15.242,1000.01
3.261,15.204,999.973
3.273,15.147,999.917
3.292,15.058,999.834
3.321,14.928,999.711
3.364,14.739,999.528
3.414,14.522,999.319
3.464,14.315,999.113
3.514,14.143,998.912
3.564,13.961,998.715
3.614,13.792,998.523
3.664,13.63,998.334
3.714,13.478,998.149
3.764,13.346,997.968
3.814,13.2,997.791
3.864,13.037,997.618
3.914,12.895,997.449
3.964,12.758,997.283
4.014,12.616,997.121
4.064,12.49,996.963
4.114,12.379,996.809
4.164,12.271,996.658
4.214,12.16,996.511
4.264,12.025,996.367
4.314,11.907,996.227
4.364,11.796,996.09
4.414,11.703,995.957
4.464,11.602,995.827
4.514,11.543,995.701
4.564,11.449,995.578
4.614,11.363,995.458
4.664,11.282,995.342
4.714,11.198,995.229
4.764,11.099,995.119
4.814,11.018,995.012
4.864,10.913,994.909
4.914,10.829,994.809
4.964,10.757,994.712
5.014,10.683,994.618
5.064,10.647,994.528
5.114,10.622,994.44
5.164,10.551,994.356
5.214,10.466,994.275
5.264,10.425,994.196
5.314,10.386,994.121
5.364,10.332,994.049
5.414,10.281,993.98
5.464,10.232,993.914
5.514,10.195,993.851
5.564,10.151,993.791
5.614,10.081,993.733
5.664,10.025,993.679
5.714,9.981,993.628
5.764,9.93,993.58
5.814,9.885,993.534
5.864,9.853,993.492
5.914,9.799,993.452
5.964,9.749,993.415
6.014,9.714,993.381
6.064,9.677,993.35
6.114,9.658,993.322
6.164,9.607,993.297
6.214,9.538,993.274
6.264,9.472,993.254
6.314,9.458,993.237
6.364,9.46,993.223
6.414,9.448,993.211
6.464,9.426,993.203
6.514,9.403,993.197
6.564,9.373,993.193
# Event APOGEE occurred at t=6.614 seconds
6.614,9.317,993.193
6.664,9.508,993.195
6.714,9.476,993.2
6.764,9.434,993.208
6.814,9.384,993.218
6.864,9.331,993.232
6.914,9.27,993.248
6.964,9.203,993.266
7.014,9.148,993.288
7.064,9.067,993.312
7.114,8.948,993.339
7.164,8.823,993.368
7.214,8.709,993.4
7.264,8.596,993.435
7.314,8.476,993.472
7.364,8.326,993.511
7.414,8.166,993.553
7.464,7.981,993.597
7.514,7.798,993.644
7.564,7.601,993.693
7.614,7.402,993.744
7.664,7.202,993.797
7.714,6.989,993.853
7.764,6.745,993.91
7.814,6.551,993.969
7.864,6.305,994.03
7.914,6.063,994.093
7.964,5.812,994.158
8.014,5.548,994.224
8.064,5.321,994.292
8.114,5.06,994.362
8.164,4.821,994.433
8.214,4.581,994.505
8.264,4.346,994.578
8.314,4.118,994.653
8.364,3.941,994.729
8.414,3.753,994.805
8.464,3.521,994.883
8.514,3.333,994.962
8.564,3.197,995.042
8.614,3.059,995.122
8.664,2.931,995.203
8.714,2.844,995.285
8.764,2.743,995.368
8.814,2.663,995.451
8.864,2.634,995.534
8.914,2.628,995.619
8.964,2.631,995.703
9.014,2.666,995.788
9.064,2.739,995.874
9.114,2.821,995.96
9.164,2.922,996.047
9.214,3.035,996.133
9.264,3.148,996.221
9.314,3.259,996.308
9.364,3.368,996.396
9.414,3.473,996.485
9.464,3.576,996.574
9.514,3.673,996.663
9.564,3.761,996.753
9.614,3.836,996.843
9.664,3.905,996.934
9.714,3.957,997.025
9.764,3.997,997.116
9.814,4.018,997.208
9.864,4.025,997.3
9.914,4.014,997.393
9.964,3.978,997.486
10.014,3.935,997.58
10.064,3.852,997.673
10.114,3.781,997.767
10.164,3.687,997.861
10.214,3.587,997.956
10.264,3.466,998.05
10.314,3.343,998.145
10.364,3.225,998.24
10.414,3.111,998.334
10.464,2.995,998.429
10.514,2.879,998.524
10.564,2.763,998.618
10.614,2.649,998.713
10.664,2.541,998.807
10.714,2.436,998.901
10.764,2.334,998.995
10.814,2.235,999.089
10.864,2.14,999.183
10.914,2.049,999.276
10.964,1.96,999.37
11.014,1.871,999.463
11.064,1.789,999.556
11.114,1.711,999.648
11.164,1.64,999.741
11.214,1.577,999.833
11.264,1.514,999.925
11.314,1.448,1000.017
11.364,1.384,1000.109
11.414,1.317,1000.2
11.464,1.247,1000.291
11.514,1.199,1000.382
11.564,1.155,1000.473
11.614,1.116,1000.564
11.664,1.078,1000.655
11.714,1.031,1000.745
11.764,0.988,1000.836
11.814,0.948,1000.926
