# Simulation 1 (Up to date)
# 663 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27,6 m/s)
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,8.803,995.658
0.02,6.895,995.658
0.03,4.987,995.658
0.04,3.079,995.658
0.05,0.32,995.658
0.06,3.289,995.657
0.07,6.901,995.657
0.08,10.515,995.657
0.09,14.131,995.657
0.1,17.75,995.656
0.11,21.371,995.656
# Event LIFTOFF occurred at t=0.12 seconds
0.12,25.172,995.655
0.13,30.557,995.653
0.14,36.332,995.652
0.15,42.119,995.649
0.16,47.915,995.647
0.17,53.722,995.643
0.18,59.538,995.639
0.19,65.364,995.635
0.2,71.2,995.629
0.21,77.045,995.623
0.22,80.355,995.616
0.23,76.261,995.607
0.24,71.686,995.598
0.25,67.101,995.589
0.26,62.506,995.578
0.27,57.901,995.567
0.28,53.285,995.555
0.29,48.801,995.542
0.3,45.69,995.529
0.31,42.911,995.515
0.32,40.128,995.501
0.33,37.347,995.487
0.34,35.231,995.472
0.35,33.577,995.456
0.36,31.921,995.441
0.37,30.268,995.425
0.38,29.187,995.408
0.39,28.5,995.391
# Event LAUNCHROD occurred at t=0.4 seconds
0.4,27.813,995.374
0.415,26.959,995.348
0.438,25.966,995.307
0.471,25.225,995.243
0.521,24.265,995.142
0.571,23.698,995.035
0.621,23.28,994.92
0.671,23.258,994.799
0.721,23.315,994.671
0.771,23.379,994.536
0.821,23.448,994.394
0.871,23.521,994.246
0.921,23.603,994.091
0.971,23.703,993.93
1.021,23.811,993.762
1.071,23.936,993.587
1.121,24.033,993.407
1.167,24.064,993.235
1.212,24.047,993.063
1.259,24.005,992.876
1.309,23.89,992.672
1.359,23.762,992.461
1.409,23.629,992.244
1.459,23.525,992.02
1.509,23.448,991.79
1.559,23.378,991.554
1.609,23.33,991.311
1.659,23.278,991.061
1.709,23.268,990.805
1.759,23.08,990.542
1.809,22.691,990.274
1.859,22.072,989.999
1.909,20.768,989.718
1.959,18.494,989.432
2.009,14.397,989.142
2.059,9.4,988.849
2.109,4.75,988.555
2.159,3.014,988.261
2.209,7.186,987.968
# Event BURNOUT occurred at t=2.242 seconds
2.242,11.575,987.776
2.291,13.447,987.492
2.341,13.345,987.208
2.391,13.313,986.928
2.441,13.254,986.652
2.491,13.246,986.38
2.541,13.203,986.111
2.591,13.049,985.847
2.641,12.863,985.586
2.691,12.693,985.329
2.741,12.653,985.076
2.791,12.618,984.827
2.841,12.508,984.581
2.891,12.413,984.339
2.941,12.417,984.1
2.991,12.38,983.865
3.041,12.342,983.634
3.091,12.219,983.406
3.141,12.148,983.182
3.191,12.067,982.962
3.241,11.918,982.745
# Event STAGE_SEPARATION occurred at t=3.242 seconds
# Event IGNITION occurred at t=3.242 seconds
3.244,11.91,982.734
3.248,10.484,982.718
3.253,8.846,982.694
3.262,6.515,982.658
3.274,3.824,982.604
3.293,6.469,982.522
3.322,21.859,982.399
3.365,46.855,982.209
3.415,92.236,981.969
3.465,146.27,981.697
3.515,133.935,981.387
3.565,92.864,981.047
3.615,68.661,980.686
3.665,57.302,980.308
3.715,52.407,979.916
3.765,49.658,979.51
3.815,48.09,979.092
3.865,46.801,978.661
3.915,46.3,978.219
3.965,45.932,977.764
4.015,45.448,977.298
4.065,44.931,976.82
4.115,44.47,976.331
4.165,44.05,975.83
4.215,43.614,975.318
4.265,43.089,974.795
4.315,42.524,974.261
4.365,41.999,973.716
4.415,41.509,973.161
4.465,41.006,972.595
4.515,40.447,972.019
4.565,39.855,971.433
4.615,39.301,970.836
4.665,38.785,970.23
4.715,38.212,969.615
4.765,37.565,968.99
4.815,37.02,968.355
4.865,36.542,967.712
4.915,35.884,967.06
4.965,35.212,966.398
5.01,34.241,965.789
5.06,32.989,965.111
5.11,30.902,964.426
5.16,27.653,963.734
5.21,22.139,963.035
5.26,13.791,962.333
5.31,5.299,961.63
5.36,8.279,960.927
5.41,17.295,960.228
5.46,26.608,959.536
# Event BURNOUT occurred at t=5.486 seconds
5.486,34.569,959.18
5.525,36.571,958.653
5.575,35.811,957.982
5.625,35.009,957.321
5.675,34.272,956.669
5.725,33.525,956.027
5.775,32.769,955.394
5.825,32.166,954.77
5.875,31.551,954.177
5.925,30.912,953.6
5.975,30.272,953.03
6.025,29.759,952.469
6.075,29.309,951.915
6.125,28.71,951.369
6.175,28.079,950.831
6.225,27.548,950.3
6.275,27.141,949.777
6.325,26.824,949.26
6.375,26.34,948.751
6.425,25.835,948.248
6.475,25.315,947.753
6.525,24.933,947.264
6.575,24.617,946.782
6.625,24.305,946.306
6.675,23.783,945.837
6.725,23.338,945.374
6.775,22.994,944.917
6.825,22.739,944.466
6.875,22.38,944.022
6.925,22.043,943.583
6.975,21.766,943.15
7.025,21.497,942.723
7.075,21.186,942.302
7.125,20.8,941.886
7.175,20.513,941.476
7.225,20.261,941.071
7.275,20.078,940.672
7.325,19.835,940.278
7.375,19.498,939.889
7.425,19.22,939.506
7.475,19.028,939.128
7.525,18.856,938.754
7.575,18.685,938.386
7.625,18.388,938.023
7.675,18.13,937.665
7.725,17.84,937.311
7.775,17.593,936.963
7.825,17.519,936.619
7.875,17.463,936.28
7.925,17.274,935.945
7.975,16.962,935.616
8.025,16.631,935.29
8.075,16.494,934.97
8.125,16.467,934.653
8.175,16.317,934.341
8.225,16.138,934.034
8.275,15.97,933.73
8.325,15.798,933.432
8.375,15.7,933.137
8.425,15.607,932.847
8.475,15.427,932.56
8.525,15.184,932.278
8.575,14.944,932.001
8.625,14.81,931.727
8.675,14.692,931.457
8.725,14.605,931.191
8.775,14.551,930.929
8.825,14.447,930.671
8.875,14.322,930.417
8.925,14.225,930.167
8.975,14.095,929.921
9.025,13.893,929.678
9.075,13.688,929.439
9.125,13.562,929.204
9.175,13.515,928.973
9.225,13.509,928.746
9.275,13.526,928.522
9.325,13.466,928.301
9.375,13.314,928.085
9.425,13.204,927.872
9.475,13.099,927.662
9.525,12.884,927.457
9.575,12.75,927.254
9.625,12.717,927.055
9.675,12.618,926.86
9.725,12.492,926.668
9.775,12.372,926.48
9.825,12.335,926.295
9.875,12.349,926.113
9.925,12.322,925.934
9.975,12.343,925.759
10.025,12.331,925.588
10.075,12.228,925.42
10.125,12.08,925.255
10.175,11.89,925.093
10.225,11.692,924.935
10.275,11.574,924.78
10.325,11.55,924.628
10.375,11.583,924.479
10.425,11.609,924.333
10.475,11.605,924.191
10.525,11.614,924.052
10.575,11.605,923.916
10.625,11.546,923.783
10.675,11.465,923.653
10.725,11.355,923.527
10.775,11.253,923.403
10.825,11.143,923.283
10.875,11.037,923.166
10.925,10.98,923.051
10.975,10.909,922.94
11.025,10.83,922.832
11.075,10.809,922.727
11.125,10.83,922.624
11.175,10.805,922.525
11.225,10.765,922.429
11.275,10.759,922.336
11.325,10.748,922.245
11.375,10.746,922.158
11.425,10.751,922.073
11.475,10.728,921.992
11.525,10.681,921.913
11.575,10.617,921.838
11.625,10.552,921.765
11.675,10.477,921.695
11.725,10.391,921.629
11.775,10.286,921.565
11.825,10.212,921.504
11.875,10.198,921.445
11.925,10.194,921.39
11.975,10.22,921.337
12.025,10.225,921.287
12.075,10.194,921.24
12.125,10.187,921.196
12.175,10.192,921.155
12.225,10.17,921.116
12.275,10.109,921.08
12.325,10.049,921.047
12.375,9.992,921.017
12.425,9.934,920.99
12.475,9.893,920.965
12.525,9.869,920.943
12.575,9.86,920.924
12.625,9.862,920.908
12.675,9.861,920.894
12.725,9.852,920.883
12.775,9.841,920.875
12.825,9.828,920.869
12.875,9.811,920.866
# Event APOGEE occurred at t=12.925 seconds
12.925,9.789,920.866
12.975,9.766,920.869
13.025,9.739,920.874
13.075,9.71,920.882
13.125,9.684,920.893
13.175,9.655,920.906
13.225,9.629,920.922
13.275,9.613,920.941
13.325,9.591,920.962
13.375,9.574,920.986
13.425,9.564,921.013
13.475,9.565,921.042
13.525,9.563,921.074
13.575,9.533,921.109
13.625,9.501,921.146
13.675,9.475,921.186
13.725,9.476,921.229
13.775,9.478,921.274
13.825,9.433,921.322
13.875,9.399,921.372
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=13.925 seconds
13.925,9.395,921.425
13.926,173.014,921.425
13.927,170.971,921.426
13.928,168.965,921.427
13.929,166.993,921.428
13.93,165.057,921.429
13.931,163.153,921.43
13.932,161.283,921.431
13.933,159.444,921.432
13.934,157.637,921.434
13.935,155.86,921.435
13.936,154.113,921.436
13.937,152.396,921.437
13.938,150.707,921.438
13.939,149.046,921.439
13.94,147.412,921.44
13.941,145.805,921.441
13.942,144.225,921.442
13.943,142.67,921.443
13.944,141.14,921.444
13.945,139.634,921.445
13.946,138.153,921.446
13.947,136.695,921.447
13.948,135.26,921.448
13.949,133.847,921.449
13.95,132.457,921.45
13.951,131.088,921.451
13.952,129.733,921.452
13.953,128.397,921.453
13.954,127.081,921.454
13.955,125.786,921.455
13.956,124.51,921.455
13.957,123.253,921.456
13.958,122.015,921.457
13.959,120.796,921.458
13.96,119.595,921.459
13.961,118.411,921.46
13.962,117.245,921.461
13.963,116.096,921.462
13.964,114.964,921.463
13.965,113.848,921.464
13.966,112.749,921.465
13.967,111.665,921.466
13.968,110.597,921.467
13.969,109.544,921.468
13.97,108.505,921.468
13.971,107.482,921.469
13.972,106.473,921.47
13.973,105.478,921.471
13.974,104.492,921.472
13.975,103.507,921.473
13.976,102.522,921.474
13.977,101.538,921.475
13.978,100.553,921.476
13.979,99.568,921.477
13.98,98.584,921.478
13.981,97.6,921.479
13.982,96.616,921.48
13.984,95.632,921.481
13.985,94.648,921.482
13.986,93.665,921.483
13.987,92.681,921.484
13.988,91.698,921.485
13.99,90.715,921.486
13.991,89.733,921.487
13.992,88.75,921.488
13.994,87.768,921.489
13.995,86.785,921.49
13.996,85.804,921.491
13.998,84.822,921.492
13.999,83.84,921.493
14.001,82.859,921.494
14.002,81.879,921.496
14.003,80.9,921.497
14.005,79.92,921.498
14.007,78.939,921.499
14.008,77.959,921.501
14.01,76.98,921.502
14.011,76,921.503
14.013,75.021,921.504
14.015,74.042,921.506
14.016,73.063,921.507
14.018,72.085,921.508
14.02,71.107,921.51
14.022,70.129,921.511
14.024,69.152,921.513
14.026,68.175,921.514
14.028,67.198,921.515
14.03,66.222,921.517
14.032,65.246,921.519
14.034,64.271,921.52
14.036,63.295,921.522
14.038,62.321,921.523
14.04,61.346,921.525
14.043,60.373,921.527
14.045,59.399,921.528
14.047,58.426,921.53
14.05,57.454,921.532
14.052,56.482,921.534
14.055,55.477,921.535
14.058,54.505,921.537
14.06,53.533,921.539
14.063,52.563,921.541
14.066,51.592,921.543
14.069,50.623,921.545
14.071,49.654,921.547
14.075,48.685,921.549
14.078,47.718,921.551
14.081,46.751,921.553
14.084,45.785,921.555
14.088,44.819,921.558
14.091,43.854,921.56
14.095,42.891,921.562
14.099,41.928,921.565
14.102,40.965,921.567
14.106,40.003,921.57
14.111,39.042,921.573
14.115,38.083,921.575
14.119,37.125,921.578
14.124,36.168,921.581
14.129,35.213,921.584
14.134,34.258,921.587
14.139,33.305,921.59
14.144,32.354,921.594
14.15,31.404,921.597
14.156,30.455,921.601
14.162,29.47,921.605
14.168,28.525,921.608
14.175,27.581,921.612
14.182,26.638,921.616
14.189,25.699,921.62
14.196,24.761,921.625
14.204,23.826,921.63
14.213,22.941,921.634
14.223,22.056,921.64
14.234,21.132,921.646
14.245,20.215,921.652
14.257,19.302,921.659
14.271,18.487,921.666
14.288,17.671,921.675
14.307,16.779,921.685
14.325,15.804,921.696
14.342,14.765,921.706
14.361,13.897,921.717
14.385,13.139,921.728
14.415,12.375,921.742
14.443,11.343,921.76
14.47,10.368,921.776
14.505,9.65,921.792
14.548,8.893,921.813
14.613,8.25,921.84
14.678,7.316,921.879
14.753,6.501,921.92
14.845,5.722,921.968
14.956,4.92,922.028
15.096,4.136,922.103
15.347,3.614,922.2
15.546,2.357,922.381
15.811,1.606,922.529
16.226,0.978,922.731
16.726,0.445,923.053
17.226,0.068,923.442
17.726,0.246,923.831
18.226,0.052,924.22
18.726,0.114,924.609
19.226,0.18,924.998
19.726,0.108,925.387
20.226,0.623,925.776
20.726,0.148,926.165
21.226,0.268,926.553
21.726,0.019,926.942
22.226,0.298,927.331
22.726,0.045,927.719
23.226,0.857,928.108
23.668,0.276,928.496
24.168,0.029,928.839
24.668,0.174,929.227
25.168,0.09,929.615
25.668,0.286,930.004
26.168,0.104,930.392
26.668,0.004,930.78
27.168,0.021,931.168
27.668,0.305,931.556
28.168,0.356,931.944
28.668,0.596,932.331
29.168,0.258,932.719
29.668,0.428,933.106
30.168,0.706,933.494
30.668,0.187,933.881
31.168,0.024,934.268
31.668,0.181,934.656
32.168,0.541,935.043
32.668,0.077,935.43
33.168,0.287,935.817
33.668,0.174,936.204
34.168,0.556,936.592
34.668,0.528,936.978
35.023,0.882,937.365
35.523,0.821,937.639
36.023,0.045,938.025
36.523,0.168,938.412
37.023,0.106,938.799
37.523,0.144,939.185
38.023,0.122,939.572
38.523,0.11,939.958
39.023,0.1,940.345
39.523,0.065,940.731
40.023,0.143,941.118
40.523,0.133,941.504
41.023,0.148,941.89
41.523,0.021,942.276
42.023,0.116,942.662
42.523,0.335,943.049
43.023,0.127,943.434
43.523,0.152,943.82
44.023,0.221,944.206
44.523,0.052,944.592
45.023,0.205,944.978
45.523,0.197,945.363
46.023,0.371,945.749
46.523,0.295,946.134
47.023,0.088,946.52
47.523,0.093,946.905
48.023,0.384,947.29
48.523,0.358,947.675
49.023,0.564,948.061
49.516,0.45,948.445
50.016,0.29,948.825
50.516,0.38,949.21
51.016,0.108,949.595
51.516,0.484,949.98
52.016,0.336,950.364
52.516,0.174,950.749
53.016,0.15,951.134
53.516,0.024,951.518
54.016,0.624,951.903
54.516,0.17,952.287
55.016,0.43,952.671
55.516,0.169,953.056
56.016,0.164,953.44
56.516,0.51,953.824
57.016,0.261,954.208
57.516,0.27,954.592
58.016,0.049,954.995
58.516,0.261,955.398
59.016,0.209,955.801
59.516,0.184,956.204
60.016,0.201,956.607
60.516,0.572,957.009
61.016,0.257,957.412
61.516,0.028,957.814
62.016,0.371,958.217
62.516,0.216,958.62
