# Simulation 1 (Up to date)
# 178 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27,6 m/s)
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
3.248,15.148,982.718
3.253,15.123,982.694
3.262,15.093,982.658
3.274,15.049,982.604
3.293,14.986,982.524
3.322,14.865,982.404
3.365,14.686,982.228
3.415,14.492,982.025
3.465,14.316,981.827
3.515,14.173,981.633
3.565,13.983,981.443
3.615,13.795,981.257
3.665,13.631,981.075
3.715,13.458,980.897
3.765,13.318,980.723
3.815,13.182,980.553
3.865,13.031,980.387
3.915,12.909,980.224
3.965,12.822,980.066
4.015,12.653,979.911
4.065,12.463,979.759
4.115,12.314,979.612
4.165,12.193,979.467
4.215,12.096,979.327
4.265,11.992,979.19
4.315,11.891,979.056
4.365,11.808,978.926
4.415,11.733,978.8
4.465,11.654,978.676
4.515,11.566,978.556
4.565,11.458,978.44
4.615,11.352,978.327
4.665,11.256,978.217
4.715,11.168,978.111
4.765,11.037,978.007
4.815,10.934,977.907
4.865,10.9,977.811
4.915,10.866,977.717
4.965,10.782,977.626
5.015,10.724,977.539
5.065,10.657,977.455
5.115,10.56,977.374
5.165,10.478,977.296
5.215,10.388,977.221
5.265,10.319,977.149
5.315,10.269,977.08
5.365,10.222,977.014
5.415,10.185,976.951
5.465,10.123,976.891
5.515,10.027,976.834
5.565,9.955,976.78
5.615,9.889,976.729
5.665,9.837,976.68
5.715,9.811,976.635
5.765,9.764,976.592
5.815,9.687,976.553
5.865,9.628,976.516
5.915,9.558,976.482
5.965,9.472,976.451
6.015,9.373,976.422
6.065,9.308,976.396
6.115,9.267,976.373
6.165,9.207,976.353
6.215,9.132,976.335
6.265,9.037,976.32
6.315,8.942,976.308
6.365,8.872,976.298
6.415,8.798,976.291
6.465,8.742,976.286
6.515,8.666,976.284
# Event APOGEE occurred at t=6.565 seconds
6.565,8.601,976.285
6.615,8.546,976.288
6.665,8.495,976.293
6.715,8.419,976.301
6.765,8.36,976.311
6.815,8.297,976.324
6.865,8.23,976.34
6.915,8.156,976.357
6.965,8.103,976.377
7.015,8.061,976.4
7.065,8.025,976.425
7.115,7.996,976.452
7.165,7.977,976.481
7.215,7.967,976.513
7.265,7.97,976.547
7.315,7.975,976.584
7.365,8.003,976.623
7.415,8.05,976.664
7.465,8.088,976.708
7.515,8.134,976.753
7.565,8.178,976.802
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=7.565 seconds
7.567,8.18,976.804
7.568,35.486,976.804
7.573,35.264,976.805
7.577,34.282,976.81
7.582,33.326,976.814
7.587,32.37,976.819
7.592,31.415,976.824
7.597,30.462,976.828
7.603,29.51,976.834
7.609,28.618,976.839
7.616,27.73,976.845
7.623,26.789,976.851
7.631,25.852,976.858
7.639,24.918,976.864
7.648,23.987,976.872
7.657,23.059,976.879
7.665,21.979,976.887
7.674,21.007,976.894
7.683,20.076,976.902
7.692,19.146,976.909
7.703,18.22,976.918
7.714,17.359,976.926
7.73,16.639,976.936
7.747,15.739,976.949
7.766,14.861,976.962
7.786,13.966,976.977
7.809,13.099,976.993
7.83,12.098,977.01
7.85,11.031,977.027
7.872,10.173,977.042
7.903,9.486,977.058
7.937,8.644,977.081
7.979,7.862,977.107
8.035,7.154,977.138
8.127,6.602,977.178
8.183,5.094,977.245
8.372,4.804,977.286
8.512,3.527,977.423
8.629,2.375,977.526
8.833,1.809,977.612
9.19,1.245,977.766
9.69,0.699,978.041
10.19,0.272,978.428
10.69,0.132,978.816
11.19,0.27,979.204
11.69,0.005,979.592
12.19,0.044,979.98
12.69,0.602,980.368
13.19,0.028,980.755
13.69,0.017,981.143
14.19,0.25,981.531
14.69,0.194,981.918
15.19,0.155,982.306
15.69,0.34,982.693
16.19,0.115,983.081
16.69,0.016,983.468
17.19,0.149,983.855
17.69,0.316,984.242
18.19,0.062,984.629
18.69,0.053,985.017
19.19,0.179,985.404
19.69,0.142,985.791
20.19,0.546,986.177
20.69,0.287,986.564
21.19,0.34,986.951
21.69,0.12,987.337
22.19,0.222,987.724
22.69,0.06,988.111
23.19,0.877,988.497
23.628,0.268,988.883
24.128,0.015,989.221
24.628,0.102,989.608
25.128,0.061,989.994
25.628,0.267,990.38
26.128,0.05,990.766
26.628,0.083,991.152
27.128,0.062,991.539
27.628,0.348,991.925
28.128,0.336,992.31
28.628,0.658,992.696
29.128,0.278,993.082
29.628,0.351,993.467
30.128,0.945,993.853
30.628,0.068,994.238
31.128,0.103,994.623
31.628,0.204,995.009
# Event GROUND_HIT occurred at t=31.97 seconds
# Event SIMULATION_END occurred at t=31.97 seconds
31.97,0.695,995.394
